smiles zinc_id Name
Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12 ZINC000005783214 Permirolast
N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O ZINC000003830273 Benserazide
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 ZINC000018185774 NP-Luteolin-monoarbinoside
C/C(=N\NC(=O)c1ccncc1)C(=O)O ZINC000004974291 Pyruvic-acid-Calcium-isoniazid
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 ZINC000003869685 NP-Quercetol;quercetin
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1 ZINC000004096261 Protirelin
CN1C[C@H](O)C2=C/C(=N/NC(N)=O)C(=O)C=C21 ZINC000100029428 Carbazochrome
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1 ZINC000003875368 Nitrofurantoin
N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O ZINC000003830273 Benserazide
CN1C[C@@H](O)C2=C/C(=N/NC(N)=O)C(=O)C=C21 ZINC000100045148 Carbazochrome
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1 ZINC000013585233 Sapropterin
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O ZINC000000970363 Vidarbine
O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21 ZINC000000058117 NP:Eriodictyol
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O ZINC000003787060 Tazobactum
NC(N)=N/C(N)=N\CCc1ccccc1 ZINC000005851063 Phenformin-hcl
CN1C[C@@H](O)C2=C/C(=N/NC(N)=O)C(=O)C=C21 ZINC000100045148 Carbazochrome
CN1C[C@@H](O)C2=C/C(=N/NC(N)=O)C(=O)C=C21 ZINC000100045148 Carbazochrome
N#C[C@@H]1CCCN1C(=O)CNC12C[C@@H]3C[C@H](CC(O)(C3)C1)C2 ZINC000100003507 Vildagliptin
Oc1ccc(C[C@H]2NCCc3cc(O)c(O)cc32)cc1 ZINC000000896041 NP:Demethyl-coclaurine
